,judul,link
0,[SALAH] Terapi Pijat untuk Anak Delay Speech (Lambat Bicara),https://turnbackhoax.id/2022/06/04/salah-terapi-pijat-untuk-anak-delay-speech-lambat-bicara/
1,[SALAH] Foto Kebakaran Hutan di Pakistan,https://turnbackhoax.id/2022/06/04/salah-foto-kebakaran-hutan-di-pakistan/
2,[SALAH] Link kuesioner berhadiah all new scoopy,https://turnbackhoax.id/2022/06/03/salah-link-kuesioner-berhadiah-all-new-scoopy/
3,[SALAH] Singa Ini Menggali Kuburan Sendiri,https://turnbackhoax.id/2022/06/03/salah-singa-ini-menggali-kuburan-sendiri/
4,[SALAH] Innalillahi:Semua Sedih Ustadzah Kondang Mama Dedeh Meninggal Dunia!,https://turnbackhoax.id/2022/06/03/salah-innalillahisemua-sedih-ustadzah-kondang-mama-dedeh-meninggal-dunia/
5,[SALAH] Video “Singapura menyerahkan 1000 triliun aset negara yg di curi koruptor”,https://turnbackhoax.id/2022/06/03/salah-video-singapura-menyerahkan-1000-triliun-aset-negara-yg-di-curi-koruptor/
6,[SALAH] Ayah Jokowi Bernama Widjiatno Merupakan Anggota PKI: “Jokowi Asli PKI Tulen!”,https://turnbackhoax.id/2022/06/02/salah-ayah-jokowi-bernama-widjiatno-merupakan-anggota-pki-jokowi-asli-pki-tulen/
7,"[SALAH] Eks Danjen Kopassus: “Buzzer Anies Makhluk Pemakan Bangkai, Tukang Fitnah dan Adu Domba”",https://turnbackhoax.id/2022/06/02/salah-eks-danjen-kopassus-buzzer-anies-makhluk-pemakan-bangkai-tukang-fitnah-dan-adu-domba/
8,[SALAH] Metode Pertolongan Pertama melalui Pelepasan Darah bagi Penderita Stroke,https://turnbackhoax.id/2022/06/02/salah-metode-pertolongan-pertama-melalui-pelepasan-darah-bagi-penderita-stroke/
9,[SALAH] Video “Kota Medan Turun Salju”,https://turnbackhoax.id/2022/06/01/salah-video-kota-medan-turun-salju/
10,"[SALAH] “Hukuman Mati Di Depan Mata, Aktor Ganteng Ini Cuma Minta Dibawakan Makanan Sisa Di Penjara, Ternyata Punya Alasan Mulia Dibaliknya”",https://turnbackhoax.id/2022/06/01/salah-hukuman-mati-di-depan-mata-aktor-ganteng-ini-cuma-minta-dibawakan-makanan-sisa-di-penjara-ternyata-punya-alasan-mulia-dibaliknya/
11,[SALAH] Gambar Tangkapan Layar Artikel Detiknews “Novel Bakmumin : Tribun Formula E Roboh Itu Peringatan Dari Allah Sponosrnya Minuman Bir”,https://turnbackhoax.id/2022/06/01/salah-gambar-tangkapan-layar-artikel-detiknews-novel-bakmumin-tribun-formula-e-roboh-itu-peringatan-dari-allah-sponosrnya-minuman-bir/
12,[SALAH] Foto Ayah Walikota Bangkok yang Terlibat dalam Pembunuhan Besar-besaran di Thailand pada 1976,https://turnbackhoax.id/2022/05/31/salah-foto-ayah-walikota-bangkok-yang-terlibat-dalam-pembunuhan-besar-besaran-di-thailand-pada-1976/
